DATE,PRICE
2012-02-01,102
2012-02-02,109
2012-02-03,104
2012-02-04,106
2012-02-05,105
2012-02-06,106
2012-02-07,105
2012-02-08,105
2012-02-09,104
2012-02-10,112
2012-02-11,114
2012-02-12,113
2012-02-13,116
2012-02-14,121
2012-02-15,107
2012-02-16,113
2012-02-17,119
2012-02-18,118
2012-02-19,117
2012-02-20,117
2012-02-21,112
2012-02-22,106
2012-02-23,110
2012-02-24,115
2012-02-25,119
2012-02-26,118
2012-02-27,119
2012-02-28,106
2012-02-29,114
2013-02-01,108
2013-02-02,111
2013-02-03,114
2013-02-04,110
2013-02-05,108
2013-02-06,103
2013-02-07,106
2013-02-08,110
2013-02-09,111
2013-02-10,117
2013-02-11,113
2013-02-12,115
2013-02-13,116
2013-02-14,122
2013-02-15,128
2013-02-16,122
2013-02-17,132
2013-02-18,132
2013-02-19,118
2013-02-20,110
2013-02-21,134
2013-02-22,124
2013-02-23,129
2013-02-24,131
2013-02-25,134
2013-02-26,131
2013-02-27,129
2013-02-28,130
2014-02-01,129
2014-02-02,126
2014-02-03,122
2014-02-04,131
2014-02-05,131
2014-02-06,134
2014-02-07,126
2014-02-08,131
2014-02-09,130
2014-02-10,127
2014-02-11,129
2014-02-12,137
2014-02-13,134
2014-02-14,145
2014-02-15,144
2014-02-16,139
2014-02-17,136
2014-02-18,141
2014-02-19,133
2014-02-20,138
2014-02-21,136
2014-02-22,141
2014-02-23,135
2014-02-24,141
2014-02-25,134
2014-02-26,139
2014-02-27,141
2014-02-28,142
2015-02-01,133
2015-02-02,143
2015-02-03,141
2015-02-04,160
2015-02-05,148
2015-02-06,147
2015-02-07,146
2015-02-08,147
2015-02-09,144
2015-02-10,147
2015-02-11,151
2015-02-12,146
2015-02-13,163
2015-02-14,165
2015-02-15,148
2015-02-16,155
2015-02-17,164
2015-02-18,151
2015-02-19,161
2015-02-20,161
2015-02-21,161
2015-02-22,152
2015-02-23,163
2015-02-24,154
2015-02-25,154
2015-02-26,165
2015-02-27,165
2015-02-28,169
